"imageCSV_only.i.","div","plateID","rowID","colID","density","uniqueCells.k.","avgRelTurnAngle","avgAbsRelTurnAngle","avgSegLen","totLen","degree","numNeurites","avgTort","totCPs","avgCPs","degree_0.5","degree_1.0","degree_1.5","degree_2.0","degree_3.0","degree_4.0","degree_6.0","numNeurites_0.5","numNeurites_1.0","numNeurites_1.5","numNeurites_2.0","numNeurites_3.0","numNeurites_4.0","numNeurites_6.0","totCPs_0.5","totCPs_1.0","totCPs_1.5","totCPs_2.0","totCPs_3.0","totCPs_4.0","totCPs_6.0","avgAbsRelTurnAngle_0.5","avgAbsRelTurnAngle_1.0","avgAbsRelTurnAngle_1.5","avgAbsRelTurnAngle_2.0","avgAbsRelTurnAngle_3.0","avgAbsRelTurnAngle_4.0","avgAbsRelTurnAngle_6.0","avgSegLen_0.5","avgSegLen_1.0","avgSegLen_1.5","avgSegLen_2.0","avgSegLen_3.0","avgSegLen_4.0","avgSegLen_6.0","totLen_0.5","totLen_1.0","totLen_1.5","totLen_2.0","totLen_3.0","totLen_4.0","totLen_6.0","avgTort_0.5","avgTort_1.0","avgTort_1.5","avgTort_2.0","avgTort_3.0","avgTort_4.0","avgTort_6.0"
"asl-rhin-CB2-20_0006_tracings.csv",0.5,"C","B",2,10000,"2",1.50748471546734,11.4238656795579,7.09973286269381,28.3989314507752,2,2,1.02440805425422,3,3,2,4,4,1,1,3,12,2,4,4,1,1,3,7,3,3,3,10,7,15,34,11.4238656795579,21.3867250575728,25.0730834613114,18.9801207530603,26.1591235204795,29.8354770270929,24.7151587923836,7.09973286269381,7.08693326869133,7.66683295912772,10.4022688447708,12.0266000215163,9.84913652854396,9.39953661154236,28.3989314507752,42.521599612148,46.0009977547664,114.424957292479,96.2128001721305,177.284457513791,413.579610907864,1.02440805425422,1.02335453604666,1.0326273227059,1.15206979951083,1.06657070743445,1.08534899035271,1.04384768791645
"asl-rhin-CB2-40_0001_tracings.csv",0.5,"C","B",2,10000,"1",-2.64504060268565,11.3912028652409,3.78781776864355,15.1512710745742,2,2,1.00623237166886,2,1,2,4,7,3,2,4,4,2,4,4,3,2,4,4,2,3,9,5,10,17,24,11.3912028652409,48.7504447595807,13.3696348419239,16.9952512724843,20.4818824796084,22.150361178257,15.5912148795937,3.78781776864355,8.22699334445577,9.28362451754802,9.39122955012853,9.23595517023444,10.3299131976399,11.8317991871073,15.1512710745742,41.1349667222788,139.25436776322,65.7386068508997,110.831462042813,216.928177150437,331.290377239003,1.00623237166886,1.1050312610304,1.0566984160098,1.0285410734036,1.04144670903744,1.05149799196078,1.0300508629196
"asl-rhin-CB2-40_0002_tracings.csv",0.5,"C","B",2,10000,"1",-4.99987323315934,4.99987323315934,6.29120886295167,18.873626588855,1,1,1.00861847001615,2,2,1,2,5,4,10,1,5,1,2,2,2,9,1,4,2,1,7,14,27,11,19,4.99987323315934,10.1641696358451,20.4264318104588,30.0066588313297,21.5134100631678,32.1850396018222,19.6580624008897,6.29120886295167,8.32822772965077,7.0721559935931,9.12533594451599,10.1266191260638,8.51033017869351,11.0517126110512,18.873626588855,16.6564554593015,77.7937159295242,164.256047001288,364.558288538298,102.123962144322,254.189390054178,1.00861847001615,1.00527908528306,1.06979096518229,1.09746801837169,1.05145604144701,1.16146489638948,1.05430896669091
"asl-rhin-CB2-40_0002_tracings.csv",0.5,"C","B",2,10000,"2",19.2140507759633,24.7441442085181,4.51813225326457,18.0725290130583,1,1,1.10840034525907,3,3,1,3,1,5,1,1,14,1,3,1,3,1,1,9,3,8,2,17,7,3,9,24.7441442085181,24.8808971266436,27.2862066587953,19.0164349623006,22.4835869178627,14.5342729909012,18.2220936616289,4.51813225326457,3.99695786935767,8.69840126146336,8.57771622098178,8.26775595429042,16.6145466892609,8.88305976421285,18.0725290130583,43.9665365629345,26.0952037843901,188.709756861599,66.1420476343234,66.4581867570436,124.36283669898,1.10840034525907,1.05281551126241,1.05043018964242,1.03286590180998,1.20848056177203,1.02181041641096,1.03031179570439
"asl-rhin-CB2-40_0003_tracings.csv",0.5,"C","B",2,10000,"1",-19.9439375479213,19.9439375479213,4.99832382917528,29.9899429750517,3,3,1.03791381021094,4,2,3,1,4,2,3,7,8,3,1,4,2,1,7,6,4,3,8,6,11,16,15,19.9439375479213,20.5653368503652,23.4711465263174,17.6172270266478,21.1941131800279,25.0853457721913,22.5415784080357,4.99832382917528,3.53840965347065,8.06513542570552,9.18125711769205,11.1038413337915,9.52630470659473,9.55143476557628,29.9899429750517,14.1536386138826,96.7816251084663,73.4500569415364,155.453778673082,180.9997894253,200.580130077102,1.03791381021094,1.03486893255044,1.04945015641328,1.04579309110482,1.08477621373314,1.02837220596167,1.03657467818912
"asl-rhin-CB2-40_0004_tracings.csv",0.5,"C","B",2,10000,"1",-26.1577626521981,26.1577626521981,5.48533026800283,16.4559908040085,1,1,1.12070971854885,2,2,1,1,1,5,3,7,6,1,1,1,2,3,5,4,2,1,1,1,3,26,73,26.1577626521981,26.7857013552534,30.451523144126,21.5570792850377,53.0486764598339,16.6817943035386,18.4075791179469,5.48533026800283,4.96522344479131,8.32953642867883,8.6114546417138,7.42753369376757,12.1411710599133,13.5146840234986,16.4559908040085,9.93044688958262,16.6590728573577,17.2229092834276,44.5652021626054,400.65864497714,1067.66003785639,1.12070971854885,1.05552627692859,1.05410220131721,1.0176445346188,1.17931932286428,1.025632480755,1.04375979656886
"asl-rhin-CB2-40_0005_tracings.csv",0.5,"C","B",2,10000,"1",-35.782525588539,35.782525588539,5.04868285612835,15.1460485683851,1,1,1.06255075726895,2,2,1,3,3,2,1,3,15,1,3,3,1,1,3,10,2,8,7,10,3,19,80,35.782525588539,21.2570390410663,15.2522565800651,21.7223924640556,66.0414319227962,21.4010822546055,16.9499132652942,5.04868285612835,4.46756505657557,10.2404607620603,10.2056142251963,10.0860999698639,11.4470060115694,12.8717462446572,15.1460485683851,49.1432156223313,102.404607620603,122.467370702356,40.3443998794557,251.834132254527,1197.07240075312,1.06255075726895,1.07878610954636,1.04045166544746,1.06626535282675,2.0157670723369,1.05339636299764,1.02850107335728
"asl-rhin-CB2-40_0005_tracings.csv",0.5,"C","B",2,10000,"2",59.3493320429471,59.3493320429471,2.67935711795448,5.35871423590896,1,1,1.17367820816028,1,1,1,1,4,2,4,1,8,1,1,4,2,4,1,5,1,2,1,3,13,12,73,59.3493320429471,42.9640157128372,25.3834112117741,27.994100427778,17.9160951261745,20.2563105751942,20.702490240132,2.67935711795448,4.7018258341009,6.93093889583119,10.2227158572154,8.98578232222416,12.0429766663881,14.0576771195945,5.35871423590896,14.1054775023027,13.8618777916624,51.1135792860769,152.758299477811,156.558696663046,1110.55649244797,1.17367820816028,1.06126925969706,1.01887836382071,1.05440684805612,1.03524567065762,1.05510824075755,1.05209856292522
"asl-rhin-CD2-20_0000_tracings.csv",0.5,"C","D",2,10000,"1",-10.4374753511182,10.4374753511182,10.4102871995771,20.8205743991543,1,1,1.01262694376317,1,1,1,2,7,1,3,5,8,1,2,7,1,3,3,5,1,11,7,3,17,11,88,10.4374753511182,22.9117730283581,21.1576268507271,23.2084132365196,27.1277755424889,19.5866365104155,20.8539771849809,10.4102871995771,4.98170382071205,8.13433414864096,9.89899040475329,9.3660660800408,8.40112667507896,11.6284575425165,20.8205743991543,64.7621496692567,89.4776756350506,39.5959616190131,187.321321600816,134.418026801263,1116.33192408158,1.01262694376317,1.0746183085805,1.04673561481147,1.05404476719865,1.06295461051396,1.03428855194153,1.04757567809081
"asl-rhin-CD2-20_0002_tracings.csv",0.5,"C","D",2,10000,"1",-1.15874061710758,25.2543915912114,10.2510414441715,82.0083315533722,2,2,1.13141154702097,6,3,2,2,3,1,8,2,6,2,2,3,1,8,2,3,6,1,4,3,20,1,17,25.2543915912114,15.6422464572087,28.5279273146177,23.9137329021007,20.0446405690897,6.25461895596602,21.2859751577502,10.2510414441715,7.42641388153947,6.59006281097226,15.6486697992601,9.82206431229449,9.98176980667612,12.1047051039204,82.0083315533722,14.8528277630789,46.1304396768059,62.5946791970405,255.373672119657,19.9635396133522,242.094102078409,1.13141154702097,1.01130053939441,1.03682542152825,1.03523977164084,1.02990898603626,1.01706768462269,1.02330842974722
