"imageCSV_only.i.","div","plateID","rowID","colID","density","uniqueCells.k.","avgRelTurnAngle","avgAbsRelTurnAngle","avgSegLen","totLen","degree","numNeurites","avgTort","totCPs","avgCPs"
"asl-rhin-CB2-20_0000_tracings.csv",0.5,"C","B",2,10000,"2",32.2132985508132,32.2132985508132,5.41487446578309,10.8297489315662,3,3,1.02019222936552,1,1
"asl-rhin-CB2-20_0001_tracings.csv",0.5,"C","B",2,10000,"1",-22.8590527540528,22.8590527540528,8.07985720448092,56.5590004313664,3,3,1.03656199927643,4,1.33333333333333
"asl-rhin-CB2-20_0002_tracings.csv",0.5,"C","B",2,10000,"1",-22.2931544200123,22.964758514219,10.1774503919859,71.2421527439016,3,3,1.09942555273788,4,1.33333333333333
"asl-rhin-CB2-20_0003_tracings.csv",0.5,"C","B",2,10000,"1",0,24.5671713206013,7.25277710098883,21.7583313029665,1,1,1.02871475627509,2,2
"asl-rhin-CB2-20_0003_tracings.csv",0.5,"C","B",2,10000,"3",2.43603147863045,20.1541311498762,8.75218393312536,26.256551799376,2,2,1.01473251846003,2,2
"asl-rhin-CB2-20_0003_tracings.csv",0.5,"C","B",2,10000,"2",-18.9993662212524,18.9993662212524,7.55494837617775,22.6648451285332,1,1,1.07831516301741,2,2
"asl-rhin-CB2-20_0003_tracings.csv",0.5,"C","B",2,10000,"4",24.486680931716,24.486680931716,5.34910882036748,10.698217640735,2,2,1.02011777322247,1,1
"asl-rhin-CB2-20_0004_tracings.csv",0.5,"C","B",2,10000,"2",-16.8184285745219,24.6979540725818,7.10080266064127,49.7056186244889,4,4,1.04551091286127,4,1.33333333333333
"asl-rhin-CB2-20_0005_tracings.csv",0.5,"C","B",2,10000,"1",-13.3550407935004,20.2249384393444,6.75042320833316,33.7521160416658,2,2,1.03639972959494,3,1.5
"asl-rhin-CB2-20_0006_tracings.csv",0.5,"C","B",2,10000,"1",2.57254534589235,51.51773157493,7.38218842933287,29.5287537173315,2,2,1.14433789088763,2,1
"asl-rhin-CB2-20_0006_tracings.csv",0.5,"C","B",2,10000,"2",1.50748471546734,11.4238656795579,7.09973286269381,28.3989314507752,2,2,1.02440805425422,3,3
"asl-rhin-CB2-40_0001_tracings.csv",0.5,"C","B",2,10000,"1",-2.64504060268565,11.3912028652409,3.78781776864355,15.1512710745742,2,2,1.00623237166886,2,1
"asl-rhin-CB2-40_0002_tracings.csv",0.5,"C","B",2,10000,"1",-4.99987323315934,4.99987323315934,6.29120886295167,18.873626588855,1,1,1.00861847001615,2,2
"asl-rhin-CB2-40_0002_tracings.csv",0.5,"C","B",2,10000,"2",19.2140507759633,24.7441442085181,4.51813225326457,18.0725290130583,1,1,1.10840034525907,3,3
"asl-rhin-CB2-40_0003_tracings.csv",0.5,"C","B",2,10000,"1",-19.9439375479213,19.9439375479213,4.99832382917528,29.9899429750517,3,3,1.03791381021094,4,2
"asl-rhin-CB2-40_0004_tracings.csv",0.5,"C","B",2,10000,"1",-26.1577626521981,26.1577626521981,5.48533026800283,16.4559908040085,1,1,1.12070971854885,2,2
"asl-rhin-CB2-40_0005_tracings.csv",0.5,"C","B",2,10000,"1",-35.782525588539,35.782525588539,5.04868285612835,15.1460485683851,1,1,1.06255075726895,2,2
"asl-rhin-CB2-40_0005_tracings.csv",0.5,"C","B",2,10000,"2",59.3493320429471,59.3493320429471,2.67935711795448,5.35871423590896,1,1,1.17367820816028,1,1
"asl-rhin-CD2-20_0000_tracings.csv",0.5,"C","D",2,10000,"1",-10.4374753511182,10.4374753511182,10.4102871995771,20.8205743991543,1,1,1.01262694376317,1,1
"asl-rhin-CD2-20_0002_tracings.csv",0.5,"C","D",2,10000,"1",-1.15874061710758,25.2543915912114,10.2510414441715,82.0083315533722,2,2,1.13141154702097,6,3
"asl-rhin-CD2-20_0002_tracings.csv",0.5,"C","D",2,10000,"2",-11.9821088475939,11.9821088475939,9.8314972952169,19.6629945904338,1,1,1.0498663867987,1,1
"asl-rhin-CD2-20_0002_tracings.csv",0.5,"C","D",2,10000,"3",-8.74616226255521,8.74616226255521,6.83449866190359,13.6689973238072,1,1,1.00330846246559,1,1
"asl-rhin-CD2-20_0003_tracings.csv",0.5,"C","D",2,10000,"1",-4.79203404693194,4.79203404693194,10.6860568871489,21.3721137742979,3,3,1.02555195121653,1,1
